date,westerly,easterly
2013-05-02T00:00:00,0.0,1.0
2013-05-03T00:00:00,1.0,0.0
2013-05-04T00:00:00,1.0,0.0
2013-05-05T00:00:00,1.0,0.0
2013-05-06T00:00:00,1.0,0.0
2013-05-07T00:00:00,0.0,1.0
2013-05-08T00:00:00,0.82,0.18
2013-05-09T00:00:00,1.0,0.0
2013-05-10T00:00:00,1.0,0.0
2013-05-11T00:00:00,1.0,0.0
2013-05-12T00:00:00,1.0,0.0
2013-05-13T00:00:00,1.0,0.0
2013-05-14T00:00:00,0.73,0.27
2013-05-15T00:00:00,1.0,0.0
2013-05-16T00:00:00,0.2,0.8
2013-05-17T00:00:00,0.0,1.0
2013-05-18T00:00:00,1.0,0.0
2013-05-19T00:00:00,0.0,1.0
2013-05-20T00:00:00,1.0,0.0
2013-05-21T00:00:00,1.0,0.0
2013-05-22T00:00:00,1.0,0.0
2013-05-23T00:00:00,1.0,0.0
2013-05-24T00:00:00,0.537,0.463
2013-05-25T00:00:00,0.466,0.534
2013-05-26T00:00:00,1.0,0.0
2013-05-27T00:00:00,0.917,0.083
2013-05-28T00:00:00,0.56,0.44
2013-05-29T00:00:00,1.0,0.0
2013-05-30T00:00:00,0.974,0.026
2013-05-31T00:00:00,0.99,0.01
2013-06-01T00:00:00,1.0,0.0
2013-06-02T00:00:00,0.783,0.217
2013-06-03T00:00:00,0.0,1.0
2013-06-04T00:00:00,0.0,1.0
2013-06-05T00:00:00,0.0,1.0
2013-06-06T00:00:00,0.0,1.0
2013-06-07T00:00:00,0.0,1.0
2013-06-08T00:00:00,0.0,1.0
2013-06-09T00:00:00,0.0,1.0
2013-06-10T00:00:00,0.062,0.938
2013-06-11T00:00:00,1.0,0.0
2013-06-12T00:00:00,1.0,0.0
2013-06-13T00:00:00,1.0,0.0
2013-06-14T00:00:00,1.0,0.0
2013-06-15T00:00:00,1.0,0.0
2013-06-16T00:00:00,0.719,0.281
2013-06-17T00:00:00,0.0,1.0
2013-06-18T00:00:00,0.468,0.532
